"set","n","method","measure","value","mc_se"
"Set1_Gaussian",25,"W1","ari",0.604361300475165,0.00386979402373501
"Set1_Gaussian",25,"W1","exact_recovery",0.2286,0.00593872107444019
"Set1_Gaussian",25,"SMD","ari",0.349332891873806,0.00199190042867357
"Set1_Gaussian",25,"SMD","exact_recovery",8e-04,0.000399839967987194
"Set1_Gaussian",25,"KS","ari",0.52410144692372,0.00362771919391096
"Set1_Gaussian",25,"KS","exact_recovery",0.1314,0.00477774088874648
"Set1_Gaussian",25,"KOM","ari",0.673269899566587,0.00392754122788632
"Set1_Gaussian",25,"KOM","exact_recovery",0.337,0.00668477374336634
"Set1_Gaussian",25,"KOM3","ari",0.386860591445977,0.00332426974603176
"Set1_Gaussian",25,"KOM3","exact_recovery",0.0422,0.00284320804725929
"Set1_Gaussian",50,"W1","ari",0.888684326898534,0.00291353856103574
"Set1_Gaussian",50,"W1","exact_recovery",0.743,0.00617982200390917
"Set1_Gaussian",50,"SMD","ari",0.421203654991618,0.00141663224075323
"Set1_Gaussian",50,"SMD","exact_recovery",0.0016,0.000565232695444982
"Set1_Gaussian",50,"KS","ari",0.816573729710612,0.00333484429775484
"Set1_Gaussian",50,"KS","exact_recovery",0.5758,0.00698933988299324
"Set1_Gaussian",50,"KOM","ari",0.920495716818938,0.00259584741360346
"Set1_Gaussian",50,"KOM","exact_recovery",0.8192,0.00544263465612014
"Set1_Gaussian",50,"KOM3","ari",0.535654018086814,0.00345099609349997
"Set1_Gaussian",50,"KOM3","exact_recovery",0.1468,0.0050049927072874
"Set1_Gaussian",75,"W1","ari",0.973715669547569,0.00150018348429192
"Set1_Gaussian",75,"W1","exact_recovery",0.9342,0.00350629034736144
"Set1_Gaussian",75,"SMD","ari",0.443769759553581,0.00124543786914494
"Set1_Gaussian",75,"SMD","exact_recovery",0.0028,0.000747283078893133
"Set1_Gaussian",75,"KS","ari",0.938513154569246,0.00218149540787046
"Set1_Gaussian",75,"KS","exact_recovery",0.8468,0.00509371691400298
"Set1_Gaussian",75,"KOM","ari",0.983229244351433,0.00126508699186721
"Set1_Gaussian",75,"KOM","exact_recovery",0.9612,0.00273110087693589
"Set1_Gaussian",75,"KOM3","ari",0.586832710212564,0.00343900412945891
"Set1_Gaussian",75,"KOM3","exact_recovery",0.206,0.00571951046856285
"Set1_Gaussian",100,"W1","ari",0.994861244265386,0.000671027621372817
"Set1_Gaussian",100,"W1","exact_recovery",0.9868,0.00161404832641405
"Set1_Gaussian",100,"SMD","ari",0.452069297226184,0.00113714309031958
"Set1_Gaussian",100,"SMD","exact_recovery",0.0018,0.000599459756781054
"Set1_Gaussian",100,"KS","ari",0.982656845222287,0.00122041287189851
"Set1_Gaussian",100,"KS","exact_recovery",0.9566,0.00288154264240528
"Set1_Gaussian",100,"KOM","ari",0.996311817053691,0.000609574776202865
"Set1_Gaussian",100,"KOM","exact_recovery",0.9918,0.00127536347760158
"Set1_Gaussian",100,"KOM3","ari",0.62005361178078,0.00350120510251256
"Set1_Gaussian",100,"KOM3","exact_recovery",0.2582,0.00618922870800555
"Set2_LogNormal",25,"W1","ari",0.331551108313399,0.00272676545800515
"Set2_LogNormal",25,"W1","exact_recovery",0.016,0.00177448584102551
"Set2_LogNormal",25,"SMD","ari",0.149876377348129,0.00228308627793271
"Set2_LogNormal",25,"SMD","exact_recovery",8e-04,0.000399839967987194
"Set2_LogNormal",25,"KS","ari",0.433806314526425,0.00326687001017917
"Set2_LogNormal",25,"KS","exact_recovery",0.0454,0.00294410733499986
"Set2_LogNormal",25,"KOM","ari",0.272997266886936,0.00294772050191955
"Set2_LogNormal",25,"KOM","exact_recovery",0.012,0.00153987012439361
"Set2_LogNormal",25,"KOM3","ari",0.185049142806546,0.00258269995978897
"Set2_LogNormal",25,"KOM3","exact_recovery",0.0014,0.000528779727296726
"Set2_LogNormal",50,"W1","ari",0.471829808145224,0.00282752024291872
"Set2_LogNormal",50,"W1","exact_recovery",0.0782,0.00379696615734194
"Set2_LogNormal",50,"SMD","ari",0.232077831081938,0.00243689908732219
"Set2_LogNormal",50,"SMD","exact_recovery",2e-04,0.0001999799989999
"Set2_LogNormal",50,"KS","ari",0.649961902466857,0.00330252545103243
"Set2_LogNormal",50,"KS","exact_recovery",0.2182,0.00584104031829947
"Set2_LogNormal",50,"KOM","ari",0.423771945102745,0.00332854429031933
"Set2_LogNormal",50,"KOM","exact_recovery",0.055,0.0032241277890307
"Set2_LogNormal",50,"KOM3","ari",0.298131130118402,0.00308043577200835
"Set2_LogNormal",50,"KOM3","exact_recovery",0.0162,0.00178536046780475
"Set2_LogNormal",75,"W1","ari",0.566752614865579,0.00347805202012067
"Set2_LogNormal",75,"W1","exact_recovery",0.2016,0.00567375431262229
"Set2_LogNormal",75,"SMD","ari",0.294545003776339,0.00233019659484822
"Set2_LogNormal",75,"SMD","exact_recovery",0.0014,0.000528779727296726
"Set2_LogNormal",75,"KS","ari",0.777671579180451,0.00299126206768625
"Set2_LogNormal",75,"KS","exact_recovery",0.4132,0.0069637024634888
"Set2_LogNormal",75,"KOM","ari",0.529905322131741,0.00371306537539884
"Set2_LogNormal",75,"KOM","exact_recovery",0.1504,0.00505529108954173
"Set2_LogNormal",75,"KOM3","ari",0.383716286204389,0.0033715384525593
"Set2_LogNormal",75,"KOM3","exact_recovery",0.0488,0.00304691844328003
"Set2_LogNormal",100,"W1","ari",0.641882096830106,0.00383224833318194
"Set2_LogNormal",100,"W1","exact_recovery",0.3262,0.00663013665017547
"Set2_LogNormal",100,"SMD","ari",0.334268798437239,0.002147058964462
"Set2_LogNormal",100,"SMD","exact_recovery",0.0016,0.000565232695444982
"Set2_LogNormal",100,"KS","ari",0.849508268340673,0.0027311720980413
"Set2_LogNormal",100,"KS","exact_recovery",0.5818,0.0069757975888066
"Set2_LogNormal",100,"KOM","ari",0.614164176116931,0.00377856850458364
"Set2_LogNormal",100,"KOM","exact_recovery",0.2508,0.00613024240956261
"Set2_LogNormal",100,"KOM3","ari",0.447508971960822,0.00354548816253554
"Set2_LogNormal",100,"KOM3","exact_recovery",0.0898,0.00404316608612607
"Set3_Mixture",25,"W1","ari",0.267890385341642,0.00293041064722608
"Set3_Mixture",25,"W1","exact_recovery",0.0016,0.000565232695444982
"Set3_Mixture",25,"SMD","ari",-0.00133913441598748,0.00148623932638991
"Set3_Mixture",25,"SMD","exact_recovery",0,0
"Set3_Mixture",25,"KS","ari",0.287871478878149,0.00269486052361072
"Set3_Mixture",25,"KS","exact_recovery",0.0016,0.000565232695444982
